名前,個人ページURL,研究系,教授職,役職,学位,専門分野,研究室Web
"平原 秀一",https://www.nii.ac.jp/faculty/informatics/hirahara_shuichi/,情報学プリンシプル研究系,助教,,,数理情報,
"福田 健介",https://www.nii.ac.jp/faculty/architecture/fukuda_kensuke/,アーキテクチャ科学研究系,准教授,,1999年、博士(工学)、慶應義塾大学,ネットワークアーキテクチャ,
"藤井 海斗",https://www.nii.ac.jp/faculty/informatics/fujii_kaito/,情報学プリンシプル研究系,助教,,博士（情報理工学）,数理情報,
"船守 美穂",https://www.nii.ac.jp/faculty/society/funamori_miho/,情報社会相関研究系,准教授,,修士（理学）,学術情報,
"古井 貞熙",https://www.nii.ac.jp/faculty/executive-director-of-research/,,,研究総主幹,工学博士(東京大学),,
"古川 雅子",https://www.nii.ac.jp/faculty/society/furukawa_masako/,情報社会相関研究系,助教,,修士（文学）,学術情報,
"プラナス エマニュエル",https://www.nii.ac.jp/faculty/glo-acting-director/planas_emmanuel/,,教授,Director,,,
"プレンディンガー ヘルムト",https://www.nii.ac.jp/faculty/digital_content/prendinger_helmut/,コンテンツ科学研究系,教授,,"Doctor of Philosophy (Ph.D.), 1998",人間・知識メディア,
"坊農 真弓",https://www.nii.ac.jp/faculty/society/bono_mayumi/,情報社会相関研究系,准教授,,2005年，博士(学術)，神戸大学,人間・知識メディア,http://research.nii.ac.jp/~bono/ja/
"松本 啓史",https://www.nii.ac.jp/faculty/informatics/matsumoto_keiji/,情報学プリンシプル研究系,准教授,,1998年、数理科学博士、東京大学,量子情報,
"水野 貴之",https://www.nii.ac.jp/faculty/society/mizuno_takayuki/,情報社会相関研究系,准教授,,博士（理学）,情報利用,http://research.nii.ac.jp/~mizuno/
"孟 洋",https://www.nii.ac.jp/faculty/digital_content/mo_hiroshi/,コンテンツ科学研究系,助教,,"1997年 博士（工学）（東京大学）",パターンメディア,
"安浦 寛人",https://www.nii.ac.jp/faculty/chief-cyber-science-infrastructure-director/,,,学術基盤チーフディレクター,"Doctor of Engineering(Kyoto University)",,
"山岸 順一",https://www.nii.ac.jp/faculty/digital_content/yamagishi_junichi/,コンテンツ科学研究系,教授,,博士（工学）,テキスト・言語メディア,https://nii-yamagishilab.github.io/
"山地 一禎",https://www.nii.ac.jp/faculty/digital_content/yamaji_kazutsuna/,コンテンツ科学研究系,教授,,,コンテンツ基盤,
"山田 誠二",https://www.nii.ac.jp/faculty/digital_content/yamada_seiji/,コンテンツ科学研究系,教授,,1989年、工学博士（大阪大学）,人間・知識メディア,http://www.ymd.nii.ac.jp/lab/seiji
"ユ イ",https://www.nii.ac.jp/faculty/digital_content/yu_yi/,コンテンツ科学研究系,助教,,博士（情報科学）、奈良女子大学,人間・知識メディア,http://research.nii.ac.jp/~yiyu/
"横井 優",https://www.nii.ac.jp/faculty/informatics/yokoi_yu/,情報学プリンシプル研究系,助教,,博士（情報理工学）、東京大学,数理情報,
"吉田 悠一",https://www.nii.ac.jp/faculty/informatics/yoshida_yuichi/,情報学プリンシプル研究系,准教授,,情報学（博士）(京都大学),数理情報,
"米田 友洋",https://www.nii.ac.jp/faculty/architecture/yoneda_tomohiro/,アーキテクチャ科学研究系,教授,副所長,工学博士（東京工業大学　1985年3月）,計算機アーキテクチャ,
